Beer,Brewery,Country,Chooser,Style,ABV,Score,Score_Band
Hell,Einsiedler Brauhaus,Germany,Baz,Lager,5.2,7,VERYGOOD
Stiegl,Stieglbrauerei Zu Salzburg,Austria,Sam,Lager,5,6.75,GOOD
Chuggernaut,Amundsen/Devil's Peak,Norway,Pete,xPA,4.7,7.75,VERYGOOD
Mongozo Coconut,Mongozo,Belgium,Pete,Fruit Beer,3.6,2.625,BAD
Dark Side of the Mill,8 Sail Brewery,United Kingdom,Jamie,Ale,4.8,4.5,BAD
Shipyard Brewery American Pale Ale,Shipyard,United States,Dave,xPA,4.5,6.75,GOOD
Breclav Kanec Horky 11,Zámecký Pivovar Breclav,Czech Republic,Morty,Lager,4.5,6.25,GOOD
Creamflow,Worthingtons,United Kingdom,Daz,Ale,3.6,5.625,OK
Hopbliminal Messages,Amundsen,Norway,Baz,xPA,5.3,7.625,VERYGOOD
Tiers Of A Clown,8 Sail Brewery,United Kingdom,Alan,xPA,6.5,6.25,GOOD
Nibbler,Moon Gazer,United Kingdom,Daz,xPA,4,6.625,GOOD
Mwsh,Purple Moose Brewery,United Kingdom,Sam,Lager,4.7,6.375,GOOD
Leffe Ruby,Leffe,Belgium,Pete,Fruit Beer,5,6.5,GOOD
Cazeau Saison,Cazeau,Belgium,Jamie,Ale,5,6.25,GOOD
New England Pale Ale No.4,The Garden Brewery,Croatia,Alan,xPA,4.9,7.5,VERYGOOD
Rocket Queen,Green Gold Brewing,Slovenia,Morty,xPA,6.9,6.875,GOOD
Paulaner Oktoberfest,Paulaner,Germany,Sam,Lager,6,7.5,VERYGOOD
St Paul Blond,St Paul,Belgium,Morty,Ale,5.3,6.875,GOOD
Flying Fluffinator,Kereru,New Zealand,Daz,xPA,6,6.5,GOOD
Easy IPA,Flying Dog,United States,Dave,xPA,4.7,7,VERYGOOD
No 3 Classic,Baltika,Russia,Jamie,Lager,4.8,6.625,GOOD
Quilmes,Cerveceria Malteria,Argentina,Pete,Lager,4.9,7.125,VERYGOOD
Celebrator,Ayinger,Germany,Baz,Lager,6.7,7.5,VERYGOOD
Saltaire Imperial Triple Choc,Saltaire Brewery,United Kingdom,Daz,Stout,7.4,7,VERYGOOD
The Garden Milkshake IPA,The Garden Brewery,Croatia,Alan,xPA,6.2,6.375,GOOD
El Perro Negro,Williams,United Kingdom,Baz,Lager,4.5,6.25,GOOD
Biere du Miel Bio,Brasserie Dupont,Belgium,Dave,Ale,8,6.75,GOOD
